Computer name,User  Account ,Adobe CC software ,Operating System ,Last Logon Time Stamp
12741-J59VT6,cheeverd,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/19/2018 12:13
13628-T9QQ32,Lauerj,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/27/2018 17:20
13628-T9QQ32,Lauerj,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/27/2018 17:20
14124-M52M32,bradyj2,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:52
14124-M52M32,bradyj2,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:52
14124-M52M32,bradyj2,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:52
14124-M52M32,bradyj2,Fireworks CS6,Microsoft Windows NT Workstation 10.0,3/19/2018 16:52
14283-T6TDC2,medinady,Premiere Pro CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:10
14283-T6TDC2,medinady,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:10
14283-T6TDC2,medinady,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:10
14347-FFPB42,mcgillk,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 15:48
14347-FFPB42,mcgillk,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/19/2018 15:48
15480-XLFCH2,frashure,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:10
15480-XLFCH2,frashure,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:10
15485-X3GCH2,bertia,InDesign CC,Microsoft Windows NT Workstation 10.0,3/23/2018 4:43
15485-X3GCH2,bertia,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/23/2018 4:43
15495-XKDCH2,tagall,InDesign CC,Microsoft Windows NT Workstation 10.0,3/26/2018 20:31
15495-XKDCH2,tagall,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/26/2018 20:31
15511-RJXVF2,callessm,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 15:46
15511-RJXVF2,callessm,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 15:46
15624-LJXVF2,kingt,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:03
15710-85FKH2,bystromk,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 15:54
15710-85FKH2,bystromk,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 15:54
15710-85FKH2,bystromk,Scout CC,Microsoft Windows NT Workstation 10.0,3/19/2018 15:54
15710-85FKH2,bystromk,SpeedGrade CC,Microsoft Windows NT Workstation 10.0,3/19/2018 15:54
15717-80DKH2,dominick,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/16/2018 1:55
15756-83FKH2,sulliv80,InDesign CC,Microsoft Windows NT Workstation 10.0,3/15/2018 20:50
15760-83GKH2,teegardj,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:30
15760-83GKH2,teegardj,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:30
15760-83GKH2,teegardj,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:30
15766-86JHH2,carsont,Character Animator CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,Audition CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,After Effects CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,Bridge CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,Dreamweaver CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,InCopy CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,Fuse CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,Flash Builder Premium,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,Prelude CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,Muse CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,Media Encoder CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,SpeedGrade CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,Scout CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,Premiere Pro CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,Fireworks CS6,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15766-86JHH2,carsont,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:16
15810-V6GKH2,housing2,InDesign CC,Microsoft Windows NT Workstation 10.0,3/26/2018 2:25
15813-V6FKH2,langenha,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/25/2018 1:11
15829-86FHH2,hearnm,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/24/2018 21:16
15844-86HHH2,deguzma1,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/13/2018 0:45
15844-86HHH2,deguzma1,InDesign CC,Microsoft Windows NT Workstation 10.0,3/13/2018 0:45
15844-86HHH2,deguzma1,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/13/2018 0:45
15950-81FKH2,moffatm,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/25/2018 4:27
15950-81FKH2,moffatm,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/25/2018 4:27
15962-7ZCHH2,bradle11,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:11
15962-7ZCHH2,bradle11,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:11
15969-7XFHH2,reish,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/23/2018 0:21
15969-7XFHH2,reish,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/23/2018 0:21
15979-V0DHH2,chanj,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/25/2018 8:16
15979-V0DHH2,chanj,Prelude CC,Microsoft Windows NT Workstation 10.0,3/25/2018 8:16
15979-V0DHH2,chanj,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/25/2018 8:16
15979-V0DHH2,chanj,InDesign CC,Microsoft Windows NT Workstation 10.0,3/25/2018 8:16
15994-7ZDHH2,eversoch,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:59
15994-7ZDHH2,eversoch,InDesign CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:59
15994-7ZDHH2,eversoch,Premiere Pro CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:59
16008-82DKH2,reynoldj,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 15:50
16022-V3DKH2,brownm32,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 19:01
16022-V3DKH2,brownm32,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 19:01
16042-8CM0G2,mcdowell,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/20/2018 19:08
16063-6MM0G2,rayr,Dreamweaver CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,Fireworks CS6,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,Character Animator CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,SpeedGrade CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,Audition CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,After Effects CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,Bridge CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,InCopy CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,Muse CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,InDesign CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,Prelude CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,Fuse CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,Scout CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,Premiere Pro CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16063-6MM0G2,rayr,Media Encoder CC,Microsoft Windows NT Workstation 10.0,3/22/2018 20:39
16065-7MM0G2,liy,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/26/2018 18:38
16066-2MM0G2,huangsu,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:36
16067-Y5M0G2,marypete,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 17:35
16097-1WK0G2,velezi,Dreamweaver CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Fireworks CS6,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Character Animator CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,SpeedGrade CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Audition CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Bridge CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,InCopy CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Fuse CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Muse CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Flash Builder Premium,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,After Effects CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Media Encoder CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Premiere Pro CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,InDesign CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Prelude CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16097-1WK0G2,velezi,Scout CC,Microsoft Windows NT Workstation 10.0,3/22/2018 16:03
16100-56M0G2,rossgr,Fireworks CS6,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,Dreamweaver CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,Fuse CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,Flash Builder Premium,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,InCopy CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,Prelude CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,Muse CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,SpeedGrade CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,InDesign CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,Scout CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,Premiere Pro CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,After Effects CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16100-56M0G2,rossgr,Media Encoder CC,Microsoft Windows NT Workstation 10.0,3/20/2018 15:01
16104-JSM0G2,malu,InCopy CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Fireworks CS6,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Character Animator CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,SpeedGrade CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Audition CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,After Effects CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Bridge CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Dreamweaver CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Fuse CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Premiere Pro CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,InDesign CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Prelude CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Muse CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Scout CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Media Encoder CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Flash Builder Premium,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16104-JSM0G2,malu,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/26/2018 17:41
16117-26W6H2,pharisc,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:50
16117-26W6H2,pharisc,InDesign CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:50
16117-26W6H2,pharisc,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:50
16126-6MJ0G2,kanterc,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/21/2018 15:35
16138-82JHH2,gregorna,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 15:34
16138-82JHH2,gregorna,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/19/2018 15:34
16138-82JHH2,gregorna,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 15:34
16256-02M0G2,ledesmagia,Bridge CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,Fireworks CS6,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,Character Animator CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,SpeedGrade CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,Dreamweaver CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,InCopy CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,InDesign CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,Prelude CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,Muse CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,Scout CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,Premiere Pro CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,Media Encoder CC,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16256-02M0G2,ledesmagia,Flash Builder Premium,Microsoft Windows NT Workstation 10.0,3/22/2018 17:09
16342-2SL0G2,decrocet,After Effects CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Bridge CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Audition CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Prelude CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Character Animator CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Fireworks CS6,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Dreamweaver CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,SpeedGrade CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,InCopy CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Muse CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Flash Builder Premium,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Illustrator CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Scout CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Premiere Pro CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Media Encoder CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16342-2SL0G2,decrocet,Fuse CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:20
16408-GJYZHK2,branigal,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 16:09
16414-Y0K7M2,Administrator,InDesign CC,Microsoft Windows NT Workstation 10.0,3/19/2018 13:27
16414-Y0K7M2,Administrator,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/19/2018 13:27
16421-XXX0M2,kaserr,Scout CC,Microsoft Windows NT Workstation 10.0,3/24/2018 19:53
16421-XXX0M2,kaserr,Muse CC,Microsoft Windows NT Workstation 10.0,3/24/2018 19:53
16421-XXX0M2,kaserr,Premiere Pro CC,Microsoft Windows NT Workstation 10.0,3/24/2018 19:53
16421-XXX0M2,kaserr,Photoshop CC,Microsoft Windows NT Workstation 10.0,3/24/2018 19:53
16421-XXX0M2,kaserr,SpeedGrade CC,Microsoft Windows NT Workstation 10.0,3/24/2018 19:53
16421-XXX0M2,kaserr,Prelude CC,Microsoft Windows NT Workstation 10.0,3/24/2018 19:53
16421-XXX0M2,kaserr,Fireworks CS6,Microsoft Windows NT Workstation 10.0,3/24/2018 19:53
